launch_speed,launch_angle,stand,p_throws,pitch_type,inning,month,balls,strikes
85.4,-2,R,R,FF,7,6,1,1
68.1,0,R,R,SI,5,6,3,2
96.2,10,R,R,SI,4,4,0,0
102.3,23,R,R,CU,3,9,1,1
69.3,68,L,R,FC,7,4,2,2
88.5,9,R,L,CH,4,7,0,0
103.1,24,R,R,FF,2,4,3,2
66.5,-11,R,R,ST,10,6,0,2
54.1,-28,R,R,SL,7,4,0,0
101.7,27,R,R,FF,3,7,0,0
72.2,47,L,L,FF,4,6,2,2
64.5,-77,R,R,ST,8,6,2,2
78.6,73,L,R,CH,4,5,2,0
70.4,46,R,R,FF,7,6,2,2
103.5,47,R,L,SL,8,8,0,1
92.3,47,R,R,FF,1,8,3,1
72.4,72,R,R,FC,2,6,1,2
89.3,40,R,R,FF,7,6,1,1
31.3,-26,R,L,SL,2,7,0,0
109.2,15,L,R,FF,3,9,1,0
101.1,20,R,R,SI,10,6,0,0
104.1,20,R,R,CU,1,5,1,2
94.1,16,R,R,FF,6,6,2,1
101.4,31,R,R,ST,4,5,0,0
80.6,25,L,R,FF,9,8,1,0
81.7,62,L,R,FF,1,6,2,2
77.8,44,L,R,FF,5,7,1,0
89.1,14,R,R,FF,9,5,1,2
97.2,10,R,R,FF,2,9,2,2
80.6,15,R,L,FF,8,7,1,2
85.8,31,L,R,SL,7,7,0,0
66.1,17,R,R,FF,7,9,3,2
98.7,-16,R,L,SL,6,9,0,1
87.9,56,R,R,SI,3,9,3,1
97.2,-1,R,R,FF,1,8,1,0
66.5,-21,R,L,FC,5,7,0,1
83.4,-21,R,R,SL,1,10,1,1
98.6,32,R,R,ST,3,7,0,1
67.3,-28,R,L,SL,7,5,2,1
64.3,-11,L,L,SI,8,7,3,2
104.9,4,R,R,SI,2,7,0,1
88.1,-9,R,R,FC,9,4,1,2
72.2,40,L,R,SL,3,8,0,2
90.8,-27,R,R,SL,9,3,1,1
80.3,28,L,R,SL,1,8,1,2
102.1,16,R,L,FF,4,7,1,1
79.7,42,R,R,FC,8,7,0,0
76.5,60,R,R,ST,6,7,2,1
69.8,35,L,R,FF,8,9,1,1
102.9,9,L,R,CU,9,6,1,2
107.8,23,L,R,CU,7,8,1,2
65.5,20,R,R,FF,6,9,2,0
81.1,11,L,L,FF,9,5,0,1
69.2,-28,L,L,SI,7,5,1,1
68.3,60,R,R,CU,1,5,0,1
86.5,53,L,R,FF,9,9,0,1
110.2,6,R,R,FF,7,4,2,0
76.6,6,L,R,CU,6,7,1,2
91.8,-17,L,R,SI,5,4,2,0
78.4,63,R,L,SI,8,5,1,2
98.4,-14,L,R,SI,2,7,3,2
79.7,74,R,R,ST,8,6,0,1
98.0,14,R,R,FS,6,7,2,2
93.0,31,L,R,FF,4,6,3,1
82.0,15,L,R,FF,8,3,0,2
79.7,-23,R,R,SL,10,6,1,2
62.8,74,R,R,ST,7,5,1,0
83.1,67,R,R,FC,3,8,1,0
78.2,36,L,R,FF,3,4,1,1
67.9,-29,R,L,SL,8,9,0,1
67.3,20,L,R,SI,8,5,2,2
101.3,18,R,R,FF,2,6,3,2
67.8,24,R,L,ST,6,7,1,2
66.7,32,L,R,FC,4,9,3,2
89.7,27,L,R,SI,8,7,0,0
89.4,-21,L,R,FC,6,4,1,1
61.4,58,L,R,SL,8,7,1,1
77.2,56,R,R,FF,5,6,2,1
92.7,63,R,R,FF,5,3,0,2
97.1,29,R,L,FF,4,4,1,2
103.0,18,L,L,SL,4,4,0,1
76.7,53,L,R,SI,1,9,0,0
107.2,34,L,R,FF,1,6,3,1
108.8,40,R,R,FF,2,6,1,1
70.0,-63,R,R,SI,4,6,1,0
88.6,27,R,R,FF,5,5,3,2
92.2,-27,L,R,CH,7,4,0,1
78.5,-52,R,L,SI,7,7,0,1
83.4,7,L,R,FF,9,4,1,0
102.5,16,L,R,CH,1,8,1,1
77.1,27,L,R,FF,3,8,3,1
78.5,15,L,R,FF,3,8,1,0
86.0,6,L,R,FF,9,7,2,2
76.3,52,L,R,FF,3,8,1,1
102.5,-22,R,R,SI,1,4,2,2
95.7,20,R,R,SI,4,8,0,1
84.7,31,R,L,SI,5,8,1,1
79.3,-8,R,L,CH,5,4,0,0
51.8,-64,R,R,CU,7,8,1,2
80.5,72,R,R,FF,1,7,0,0
