home_team,lat,lon
ARI,33.445,-112.066
ATL,33.890,-84.467
BAL,39.284,-76.621
BOS,42.346,-71.097
CHC,41.948,-87.655
CIN,39.097,-84.508
CLE,41.505,-81.699
COL,39.756,-104.994
CWS,41.830,-87.633
DET,42.339,-83.050
HOU,29.758,-95.355
KC,39.051,-94.480
LAA,33.799,-117.882
LAD,34.073,-118.240
MIA,25.778,-80.219
MIL,43.028,-87.971
MIN,44.981,-93.278
NYM,40.757,-73.846
NYY,40.829,-73.925
OAK,37.751,-122.201
PHI,39.905,-75.166
PIT,40.446,-80.005
SD,32.707,-117.157
SEA,47.590,-122.333
SF,37.778,-122.389
STL,38.622,-90.192
TB,27.768,-82.653
TEX,32.747,-97.084
TOR,43.641,-79.389
WSH,38.873,-77.007
